name,price_level,rating,img_url,location,place_id
忠華號,N/A,5,https://th.bing.com/th/id/R.409832a9886d51eb28e38d9f5a312cb9?rik=RoSWoLpVeJgp5A&riu=http%3a%2f%2fwww.allsense.com.tw%2fshopt%2fimages%2fs1%2fnotImg_.jpg&ehk=kZLbCtiT8lwcptfA4NEyrgaZmtH4XxJxWI8voOSAdfs%3d&risl=&pid=ImgRaw&r=0,"{'lat': 23.5794789, 'lng': 119.5790573}",ChIJeYhZvuBabDQR2_su2LE5wd4
東西滷味,N/A,5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AXCi2Q5-2CJEYx6FT0d1m5mi5TxlHRiErt6tnabqZ39kVBh55TXRjTx_wWFEnMwvgSfLPbCXtFFTcXQjdRlwjj-ZF0WTDkXfnx70J6bzopj5z9ggyAKXWywJmVI8IgwKk6HP19naaVMeJzM7ZU_O1lsnG1PZpT3iI75m9vg-QHXxUhOj6Yrr&key=AIzaSyAlrONk6sDRUMmEkkjAsYxfuPvMVz7wSls,"{'lat': 23.577093, 'lng': 119.571122}",ChIJ-4YtDKBbbDQRYReRbeJ9EB0
海物漁村｜澎湖海鮮宅配,N/A,5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AXCi2Q6lqvx4L2ZPJqdjjhPAX7DO7_iQMg-9zeKT3lChX3uMlxLRqEBR0_FoMZBHOZYo8QusRwpowR5ML_HZa5C-lrI9ONM-0zHfuc2LVVJF09Mm0psgROaiHusJYO9E6EpOZZ3emERBQ50L_HzEtHnpy-KlmMw59UL1ubs1EKmA15BN9TEi&key=AIzaSyAlrONk6sDRUMmEkkjAsYxfuPvMVz7wSls,"{'lat': 23.579893, 'lng': 119.5761873}",ChIJ-eV2hcZbbDQRENfpIoaqyN0
草根果子 Grassroots & Fruit,2,4.9,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AXCi2Q6XJDfMqNFW_iA2m3ZtuL-0P2tabxEaciUT6YLQOmfBvdqQleoHlqXawr_5MtY6RHh4d5gCtQNKfxSgyFNbljJ_p5VYlrtZEnI5Un2WkhRHr8xYUmzQfqPrav3bIQT8072eOVrzTAcrG9p9KYAN5A11Pd2xXbtPLanDg8UbJsg65uJF&key=AIzaSyAlrONk6sDRUMmEkkjAsYxfuPvMVz7wSls,"{'lat': 23.5786846, 'lng': 119.5712187}",ChIJYe5x8u1abDQRTpNGUlrUxPs
五福小館（五福水餃）,N/A,4.9,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AXCi2Q5l_oNhLJM-14WFiFl9EK50u_SUyIoKIE416nhu8YcxuJbBMe-hNfHwDIGZRt40d-MguGYY_zA6ZwxoqM7OvvNlKw5gf_YSMQALWHMrzNn835kPHjZwzMYsorhSihl2p0A6ysmBRWRCTw-aY8V_poefab6g3cgOICbzUGMYE0hmPH7f&key=AIzaSyAlrONk6sDRUMmEkkjAsYxfuPvMVz7wSls,"{'lat': 23.5812704, 'lng': 119.5760077}",ChIJG9nG4qpbbDQRZ695lJdDO9E
雛菊見DAISY HOUSE-澎湖店,2,4.8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AXCi2Q5r7U74sddGWl7fCqRi6mZYdmkFbasaQCdNjfNO1xFcJDvoZ84aLABfTrse9hbG5zL92Hie_obfcwemitboyiWNbFzouoztMUI9u4OFPB8SP-hEpXhOycuS1R6VLUyzWwGNE1h3ICehN3aBZyFGm1gQKTGFjzN6AmhuTvW3zCDrR3U9&key=AIzaSyAlrONk6sDRUMmEkkjAsYxfuPvMVz7wSls,"{'lat': 23.5770218, 'lng': 119.572783}",ChIJOQRRS-RabDQRS-LXK66qaJc
古斯朵廚房-澎湖在地人用在地食材做的在地美食，8月份公休為7、14、21、28號,N/A,4.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AXCi2Q4PmCHow_JWcJtfBfVrCMPlL6mPxulhSMq3CLZJcCWJgI8HxT9yVuAVkAjZk3sE6UsiE2tM-zR0OHNMmdIMCPw-_g_JUp2fZ-2OeEFpV87EC58deguMl5ju_UQTENqMmCugUgGf0ZiVMU6yKXhWuVak9YFzrp69GZ-A4klaXZTyh92d&key=AIzaSyAlrONk6sDRUMmEkkjAsYxfuPvMVz7wSls,"{'lat': 23.5763653, 'lng': 119.574164}",ChIJuxr6JaJbbDQRmzRQbb9RtkQ
藍媽媽仙草店,1,4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AXCi2Q56D2g7c_3MOG2QRJuQv995jwP0qY6drhuGVb7qT5y-2ZZAoJI52L7730KsU3hr2xfzEFhu680TMy4Hi0ULqj0vL1uHaiRHKkETLn_X4PlVxT5MqxUzX3iXljC2XMp_N_L5aYbr9qCWusJa1PKDJh4DgOfkJPnXW2yA3H8ZAok064x_&key=AIzaSyAlrONk6sDRUMmEkkjAsYxfuPvMVz7wSls,"{'lat': 23.578778, 'lng': 119.578115}",ChIJV4hm0uBabDQRF-swnRYrqmE
海城 上湯鮮魚粥 飯麵擔｜澎湖必吃｜澎湖美食｜八仙過海 人氣餐廳 在地推薦 小卷廳,1,4.6,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AXCi2Q7j046JHHi-0vJ_HMRck8nVrFtO98lJXs7BsxkfRgRKuUPIrhEs-6wGAP9_75-t8x0iXQAnLEk8gW8DuGPzRHcUWXlzrLdYEzLAMMwo_z1PzvT4vtyoB4R4-fNXlJvr9sIxUkbuarorH2KjNBNcbSB1quI9TM_id5uq8_Xww2EbMFSd&key=AIzaSyAlrONk6sDRUMmEkkjAsYxfuPvMVz7wSls,"{'lat': 23.5771172, 'lng': 119.5702136}",ChIJ9QBaz7NbbDQRjAWCAQOZ3z8
butterfly Cafe',2,4.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AXCi2Q5s5M6Py8xy0Su-rGZXgc-9yazuDnAnPtSGY02BcMD9B7Ti2DnGrXtN1mIGTKXRLNE8n-OZCLINW9lSfolM6lKuT42jbcvCXKoIRnT1z8jybmTWv31jS0SdDUJEnaUIj75eYm7KYhUpzw1zjiJooSqQx8hzBtr7zpTOt-VjSUrC4xZ-&key=AIzaSyAlrONk6sDRUMmEkkjAsYxfuPvMVz7wSls,"{'lat': 23.5765381, 'lng': 119.5737935}",ChIJfy7D0-VabDQRaT1Gm4P3GZw
